"id","name","product_code_64km","product_code_128km","product_code_256km","product_code_512km","latitude","longitude","created_at","updated_at"
2,"Appin","","IDR033","IDR032","IDR031",-34.264,150.874,"2009-03-18 11:31:54","2009-03-18 11:35:12"
3,"Canberra","","IDR403","IDR402","IDR401",-35.663,149.511,"2009-03-18 11:31:54","2009-03-18 11:35:13"
4,"Grafton","","IDR283","IDR282","IDR281",-29.622,152.951,"2009-03-18 11:31:54","2009-03-18 11:35:14"
5,"Mildura (pt) VIC","","IDR303","IDR302","IDR301",-34.233,142.083,"2009-03-18 11:31:54","2009-03-18 11:35:14"
6,"Moree (pt)","","IDR533","IDR532","IDR531",-29.5,149.85,"2009-03-18 11:31:54","2009-03-18 11:35:15"
7,"Newcastle","","IDR043","IDR042","IDR041",-32.732,152.025,"2009-03-18 11:31:54","2009-03-18 11:35:17"
8,"Wagga Wagga (pt)","","IDR553","IDR552","IDR551",-35.167,147.467,"2009-03-18 11:31:54","2009-03-18 11:35:18"
9,"Yarrawonga VIC","IDR494","IDR493","IDR492","IDR491",-36.03,146.023,"2009-03-18 11:31:54","2009-03-18 11:35:18"
10,"Norfolk Island (pt)","","IDR623","IDR622","IDR621",-29.04,167.94,"2009-03-18 11:31:54","2009-03-18 11:35:19"
11,"Darwin","","IDR633","IDR632","IDR631",-12.457,130.925,"2009-03-18 11:31:54","2009-03-18 11:35:19"
12,"Alice Springs (pt)","","IDR253","IDR252","IDR251",-23.817,133.9,"2009-03-18 11:31:54","2009-03-18 11:35:25"
13,"Gove (pt)","","IDR093","IDR092","IDR091",-12.275,136.823,"2009-03-18 11:31:54","2009-03-18 11:35:25"
14,"Katherine","","IDR423","IDR422","IDR421",-14.513,132.446,"2009-03-18 11:31:54","2009-03-18 11:35:26"
15,"Tennant Creek (pt)","","IDR653","IDR652","IDR651",-19.642,134.183,"2009-03-18 11:31:54","2009-03-18 11:35:26"
16,"Wyndham WA","","IDR073","IDR072","IDR071",-15.453,128.119,"2009-03-18 11:31:54","2009-03-18 11:35:30"
17,"Brisbane (Mt Stapylton)","IDR664","IDR663","IDR662","IDR661",-27.718,153.24,"2009-03-18 11:31:54","2009-03-18 11:35:31"
19,"Brisbane (Marburg)","","IDR503","IDR502","IDR501",-27.606,152.54,"2009-03-18 11:31:54","2009-03-18 11:35:31"
20,"Bowen","","IDR243","IDR242","IDR241",-19.886,148.075,"2009-03-18 11:31:54","2009-03-18 11:35:32"
21,"Cairns","","IDR193","IDR192","IDR191",-16.817,145.683,"2009-03-18 11:31:54","2009-03-18 11:35:32"
22,"Gladstone","","IDR233","IDR232","IDR231",-23.856,151.262,"2009-03-18 11:31:54","2009-03-18 11:35:33"
23,"Gympie","","IDR083","IDR082","IDR081",-25.957,152.577,"2009-03-18 11:31:54","2009-03-18 11:35:33"
24,"Longreach (pt)","","IDR563","IDR562","IDR561",-23.43,144.29,"2009-03-18 11:31:54","2009-03-18 11:35:34"
25,"Mackay (pt)","","IDR223","IDR222","IDR221",-21.117,149.217,"2009-03-18 11:31:54","2009-03-18 11:35:34"
26,"Mornington Is","","IDR363","IDR362","IDR361",-16.666,139.167,"2009-03-18 11:31:54","2009-03-18 11:35:37"
27,"Townsville","","IDR733","IDR732","IDR731",-19.420,146.551,"2009-03-18 11:31:54","2009-03-18 11:35:38"
28,"Warrego","","IDR673","IDR672","IDR671",-26.439,147.349,"2009-03-18 11:31:54","2009-03-18 11:35:38"
29,"Weipa","","IDR183","IDR182","IDR181",-12.671,141.922,"2009-03-18 11:31:54","2009-03-18 11:35:38"
30,"Willis Island","","IDR413","IDR412","IDR411",-16.3,149.983,"2009-03-18 11:31:54","2009-03-18 11:35:39"
31,"Adelaide (Buckland Park)","IDR644","IDR643","IDR642","IDR641",-34.617,138.469,"2009-03-18 11:31:54","2009-03-18 11:35:39"
33,"Adelaide (Sellicks Hill)","","IDR463","IDR462","IDR461",-35.331,138.501,"2009-03-18 11:31:54","2009-03-18 11:35:39"
34,"Ceduna (pt)","","IDR333","IDR332","IDR331",-32.131,133.695,"2009-03-18 11:31:54","2009-03-18 11:35:40"
35,"Eucla (pt) WA","","IDR453","IDR452","IDR451",-31.681,128.892,"2009-03-18 11:31:54","2009-03-18 11:35:40"
36,"Mt Gambier (pt)","","IDR143","IDR142","IDR141",-37.75,140.78,"2009-03-18 11:31:54","2009-03-18 11:35:41"
37,"Woomera","","IDR273","IDR272","IDR271",-31.157,136.803,"2009-03-18 11:31:54","2009-03-18 11:35:41"
38,"N.W. Tas","","IDR523","IDR522","IDR521",-41.181,145.578,"2009-03-18 11:31:54","2009-03-18 11:35:43"
39,"Hobart (pt)","","IDR373","IDR372","IDR371",-42.833,147.51,"2009-03-18 11:31:54","2009-03-18 11:35:44"
40,"Melbourne","IDR024","IDR023","IDR022","IDR021",-37.852,144.752,"2009-03-18 11:31:54","2009-03-18 11:35:44"
42,"Bairnsdale","","IDR683","IDR682","IDR681",-37.888,147.575,"2009-03-18 11:31:54","2009-03-18 11:35:45"
43,"Mildura (pt)","","IDR303","IDR302","IDR301",-34.233,142.083,"2009-03-18 11:31:54","2009-03-18 11:35:45"
44,"Yarrawonga","IDR494","IDR493","IDR492","IDR491",-36.03,146.023,"2009-03-18 11:31:54","2009-03-18 11:35:48"
45,"Mt Gambier (pt) SA","","IDR143","IDR142","IDR141",-37.75,140.78,"2009-03-18 11:31:54","2009-03-18 11:35:48"
46,"Perth","","IDR703","IDR702","IDR701",-32.3917,115.8669,"2009-03-18 11:31:54","2009-03-18 11:35:49"
47,"Albany (pt)","","IDR313","IDR312","IDR311",-34.95,117.8,"2009-03-18 11:31:54","2009-03-18 11:35:49"
48,"Broome (pt)","","IDR173","IDR172","IDR171",-17.945,122.225,"2009-03-18 11:31:54","2009-03-18 11:35:51"
49,"Carnarvon (pt)","","IDR053","IDR052","IDR051",-24.883,113.667,"2009-03-18 11:31:54","2009-03-18 11:35:51"
50,"Dampier","","IDR153","IDR152","IDR151",-20.654,116.682,"2009-03-18 11:31:54","2009-03-18 11:35:52"
51,"Esperance (pt)","","IDR323","IDR322","IDR321",-33.83,121.891,"2009-03-18 11:31:54","2009-03-18 11:35:52"
52,"Eucla (pt)","","IDR453","IDR452","IDR451",-31.681,128.892,"2009-03-18 11:31:54","2009-03-18 11:35:54"
53,"Geraldton (pt)","","IDR063","IDR062","IDR061",-28.8,114.7,"2009-03-18 11:31:54","2009-03-18 11:35:56"
54,"Giles (pt)","","IDR443","IDR442","IDR441",-25.03,128.3,"2009-03-18 11:31:54","2009-03-18 11:35:59"
